skuagr_2,descriprod_agrp2,lineaproducto,grupo_producto,sub_grupo_1,sub_grupo_2,cobertura_contrato,perfil_terapeutico,atc,base_pbs,grupo_riesgo
24184675G5,CALCIO 950 MG + VITAMINA D 400 UI + OXI DE MAGNESIO 50 MG +  ISOFLAVONA  50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A12AA20,INCLUSION 2022,199
24261769G5,CALCIO 300 MG + VITAMINA D 100 UI + ZINC 7.5 MG (/5ML) SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A12AA20,INCLUSION 2022,199
24330635G5,CALCITRIOL 0.25 MCG  CAPSULA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A11CC04,PBS 2021,199
24331835G5,CALCITRIOL 0.5 MCG  CAPSULA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A11CC04,PBS 2021,199
24447175G5,CANDESARTAN 16 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09CA06,PBS 2021,101
24463475G5,CANDESARTAN 32 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09CA06,PBS 2021,101
24482375G5,CANDESARTAN 8 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09CA06,PBS 2021,101
24547375G5,CANDESARTAN 16 MG + AMLODIPINO 5 MG + HIDROCLOROTIAZIDA 12.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C08CA01,PBS 2021,101
24563675G5,CANDESARTAN 32 MG + AMLODIPINO 5 MG + HIDROCLOROTIAZIDA 12.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09DA06,PBS 2021,101
24663575G5,CANDESARTAN 32 MG + HIDROCLOROTIAZIDA 12.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09DA06,INCLUSION 2022,101
24663575G6,CANDESARTAN 32 MG + HIDROCLOROTIAZIDA 12.5 MG TABLETA   ATACAND PLUS,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09DA06,INCLUSION 2022,101
24740169G5,CANNABIDIOL 100 MG/ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,NEUROLOGIA,N03AX24,NO PBS,199
24775369G5,CANNABIDIOL 50 MG/ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,NEUROLOGIA,N03AX24,NO PBS,199
24975875G5,CAPECITABINA 500 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L01BC06,PBS 2021,199
25056875G5,CAPTOPRIL 25 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09AA01,PBS 2021,101
25074175G5,CAPTOPRIL 50 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09AA01,PBS 2021,101
25140074G5,CARBAMAZEPINA 100 MG/5ML  SUSPENSION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF01,PBS 2021,102
25140074G6,CARBAMAZEPINA 100 MG/5ML  SUSPENSION ORAL   TEGRETOL,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF01,PBS 2021,102
25154875G5,CARBAMAZEPINA 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF01,PBS 2021,102
25154875G6,CARBAMAZEPINA 200 MG  TABLETA   TEGRETOL,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF01,PBS 2021,102
25168375G5,CARBAMAZEPINA 400 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF01,PBS 2021,102
25168375G6,CARBAMAZEPINA 400 MG  TABLETA   TEGRETOL,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF01,PBS 2021,102
25256975G5,CARBIDOPA 25 MG + LEVODOPA 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA02,PBS 2021,102
25257375G5,CARBIDOPA 25 MG + LEVODOPA 250 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA02,PBS 2021,102
253100475G5,CARBIDOPA 25 MG + LEVODOPA 200 MG + ENTACAPONA 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA02,PBS 2021,102
25342475G5,CARBIDOPA 12.5 MG + LEVODOPA 50 MG + ENTACAPONA 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA02,PBS 2021,102
25357175G5,CARBIDOPA 25 MG + LEVODOPA 100 MG + ENTACAPONA 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA02,PBS 2021,102
25365975G5,CARBIDOPA 37.5 MG + LEVODOPA 150 MG + ENTACAPONA 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA02,PBS 2021,102
25374575G5,CARBIDOPA 50 MG + LEVODOPA 200 MG + ENTACAPONA 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,NEUROLOGIA,N04BA03,PBS 2021,102
25579275G5,CARBONATO DE CALCIO 600 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MICRONUTRIENTES,A12AA04,PBS 2021,106
25661575G5,CARBONATO DE LITIO 300 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N05AN01,PBS 2021,103
25772068G5,CARBOXIMETILCELULOSA 5 MG + GLICERINA 9 MG (/ML) SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA20,INCLUSION 2022,199
25872168G5,CARBOXIMETILCELULOSA 5 MG + GLICEROL 9 MG + HIALURONATO 1 MG (/ML) SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA20,INCLUSION 2022,199
25924868G5,CARBOXIMETILCELULOSA SODICA (0.5%) 5 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA20,INCLUSION 2022,199
25925343G5,CARBOXIMETILCELULOSA SODICA (1%) 10 MG/GR  GEL OFTALMICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA20,INCLUSION 2022,199
25925468G5,CARBOXIMETILCELULOSA SODICA (1%) 10 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA20,INCLUSION 2022,199
26078858G5,CARFILZOMIB 60 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,TERAPIA INYECTABLE,NO PBS,ONCOLOGIA,L01XX45,NO PBS,199
26120375G5,CARFLAT   TABLETA,GENERICOS,ALTO COSTO,HOMEOP TICOS,0,NO PBS,HOMEOPATICOS,HOMEO,NO PBS,199
26242275G5,CARVEDILOL 12.5 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C07AG02,PBS 2021,101
26256875G5,CARVEDILOL 25 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C07AG02,PBS 2021,101
26278775G5,CARVEDILOL 6.25 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C07AG02,PBS 2021,101
26388457G6,CASEINATO DE CALCIO   POLVO ORAL   LATA X 225 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
26388557G6,CASEINATO DE CALCIO   POLVO ORAL   LATA X 250 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
26474158G5,CASPOFUNGINA 50 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIMICOTICOS,J02AX04,VENTAS IPS,199
26480958G5,CASPOFUNGINA 70 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIMICOTICOS,J02AX04,VENTAS IPS,199
26575875G5,CEFADROXILO 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01DA09,INCLUSION 2022,199
26658359G5,CEFALEXINA 250 MG  POLVO PARA RECONSTITUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01DB01,PBS 2021,199
26675835G5,CEFALEXINA 500 MG  CAPSULA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01DB01,PBS 2021,199
26733058G5,CEFALOTINA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIINFECCIOSOS,J01DB03,VENTAS IPS,199
26833058G5,CEFAZOLINA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIINFECCIOSOS,J01DB04,VENTAS IPS,199
26933058G5,CEFEPIME 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIINFECCIOSOS,J01DE01,VENTAS IPS,199
27033058G5,CEFOTAXIMA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIINFECCIOSOS,J01DD01,VENTAS IPS,199
27133058G5,CEFRADINA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIINFECCIOSOS,J01DB09,VENTAS IPS,199
27175875G5,CEFRADINA 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01DB09,PBS 2021,199
27233058G5,CEFTAZIDIMA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA INYECTABLE,VENTAS IPS,ANTIINFECCIOSOS,J01DD02,VENTAS IPS,106
27333058G5,CEFTRIAXONA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,P B S,ANTIINFECCIOSOS,J01DD54,PBS 2021,106
27454875G5,CELECOXIB 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,REUMATOLOGIA,M01AH01,INCLUSION 2022,199
27555666G5,CERTOLIZUMAB 200 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,REUMATOLOGIA,L04AB05,MIXTO,199
27625469G5,CETIRIZINA (1%) 10 MG/ML  SOLUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R06AE07,PBS 2021,199
27636775G5,CETIRIZINA 10 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,N02AJ06,PBS 2021,199
27672350G5,CETIRIZINA 5 MG/5ML  JARABE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R06AE07,PBS 2021,199
277101275G5,CETIRIZINA 5 MG + FENILEFRINA 15 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R01BA53,INCLUSION 2022,199
27771250G5,CETIRIZINA 5 MG + FENILEFRINA 10 MG (/5ML) JARABE,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R01BA53,INCLUSION 2022,199
27834466G5,CIANOCOBALAMINA 1 MG/ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA INYECTABLE,P B S,SUPLEMENTOS Y VITAMINAS,B03BA01,PBS 2021,199
27971375G5,CICLOBENZAPRINA 5 MG + LISINO 125 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M03BX08,INCLUSION 2022,199
28036775G5,CICLOBENZAPRINA CLORHIDRATO 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M03BX08,INCLUSION 2022,199
28045175G5,CICLOBENZAPRINA CLORHIDRATO 15 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M03BX08,INCLUSION 2022,199
28070875G5,CICLOBENZAPRINA CLORHIDRATO 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M03BX08,INCLUSION 2022,199
28274175G5,CICLOFOSFAMIDA 50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L01AA01,PBS 2021,199
28323068G5,CICLOSPORINA (0.1%) 1 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,L04AD01,INCLUSION 2022,199
28338835G5,CICLOSPORINA 100 MG  CAPSULA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,REUMATOLOGIA,L04AD01,INCLUSION 2022,199
28374135G5,CICLOSPORINA 50 MG  CAPSULA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,L04AD01,PBS 2021,199
28488357G6,CIK - 3    POLVO ORAL   SOBRE X 15 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
28538875G5,CILOSTAZOL 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,B01AC23,INCLUSION 2022,101
28574175G5,CILOSTAZOL 50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,B01AC23,INCLUSION 2022,101
28660975G5,CINACALCET 30 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,NEFROLOGIA,H05BX01,INCLUSION 2022,101
28678875G5,CINACALCET 60 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,NEFROLOGIA,H05BX01,INCLUSION 2022,101
28738875G5,CIPROFIBRATO 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C10AB08,INCLUSION 2022,101
28824068G5,CIPROFLOXACINA (0.3%) 3 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,J01MA02,INCLUSION 2022,199
28824070G5,CIPROFLOXACINA (0.3%) 3 MG/ML  SOLUCION OTICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,OTICOS,J01MA02,INCLUSION 2022,199
28840166G5,CIPROFLOXACINA 100 MG/ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA INYECTABLE,VENTAS IPS,ANTIINFECCIOSOS,J01MA02,VENTAS IPS,199
28875875G5,CIPROFLOXACINA 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01MA02,PBS 2021,199
28882075G5,CIPROFLOXACINA 750 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01MA02,PBS 2021,199
28923968G5,CIPROFLOXACINA (0.3%) 3 MG + DEXAMETASONA (0.1%) 1 MG (/ML) SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01AX13,PBS 2021,199
28923970G5,CIPROFLOXACINA (0.3%) 3 MG + DEXAMETASONA (0.1%) 1 MG (/ML) SOLUCION OTICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,OTICOS,S02CA06,PBS 2021,199
29050669G5,CIPROHEPTADINA 2 MG/5ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R06AX02,INCLUSION 2022,199
29241175G5,CITRATO DE POTASIO 1080 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A12BA02,INCLUSION 2022,199
29358359G5,CLARITROMICINA 250 MG  POLVO PARA RECONSTITUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01FA09,PBS 2021,199
29358559G5,CLARITROMICINA 250 MG/5ML  POLVO PARA RECONSTITUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01FA09,PBS 2021,199
29375858G5,CLARITROMICINA 500 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA INYECTABLE,VENTAS IPS,ANTIINFECCIOSOS,J01FA09,VENTAS IPS,199
29375875G5,CLARITROMICINA 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01FA09,PBS 2021,199
29461575G5,CLINDAMICINA 300 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01FF01,PBS 2021,199
29479275G5,CLINDAMICINA 600 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01FF01,PBS 2021,199
29479566G5,CLINDAMICINA 600 MG/ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIINFECCIOSOS,J01FF01,VENTAS IPS,199
29531269G5,CLOBAZAM 0.250 GR/100ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N05BA09,MIXTO,103
29536775G5,CLOBAZAM 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06DA03,MIXTO,103
29536775G6,CLOBAZAM 10 MG  TABLETA   URBADAN,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06DA03,MIXTO,103
29553475G5,CLOBAZAM 20 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06DA03,MIXTO,103
29553475G6,CLOBAZAM 20 MG  TABLETA   URBADAN,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06DA03,MIXTO,103
29622237G5,CLOBETASOL (0.05%) 0.05 GR/100 GR  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D07AD01,INCLUSION 2022,199
29622251G5,CLOBETASOL (0.05%) 0.05 GR/100 GR  LOCION TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D07AD01,INCLUSION 2022,199
29739569G5,CLOBETASOL 100 MG + MINOXIDIL 5 GR + TRETINOINA 25 MG (/100ML) SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,DERMATOLOGICOS,D10AD51,NO PBS,199
29739572G5,CLOBETASOL 100 MG + MINOXIDIL 5 GR + TRETINOINA 25 MG (/100ML) SOLUCION TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,NO PBS,DERMATOLOGICOS,N02AA59,NO PBS,199
29831975G5,CLONAZEPAM 0.5 MG  TABLETA,GENERICOS,PRIMER NIVEL,MXCE,MCE_FV,P B S,ANTIEPILEPTICOS,N03AE01,PBS 2021,102
29849775G5,CLONAZEPAM 2 MG  TABLETA,GENERICOS,PRIMER NIVEL,MXCE,MCE_FV,P B S,ANTIEPILEPTICOS,N03AE01,PBS 2021,102
29852769G5,CLONAZEPAM 2.5 MG/ML  SOLUCION ORAL,GENERICOS,PRIMER NIVEL,MXCE,MCE_FV,P B S,ANTIEPILEPTICOS,N03AE01,PBS 2021,102
29930175G5,CLONIDINA 0.15 MCG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C02AC01,PBS 2021,101
29930175G6,CLONIDINA 0.15 MCG  TABLETA   CATAPRESAN,COMERCIALES 1,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C02AC01,PBS 2021,101
30081675G5,CLOPIDOGREL 75 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,B01AC04,PBS 2021,101
30081675G6,CLOPIDOGREL 75 MG  TABLETA   PLAVIX,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,B01AC04,PBS 2021,101
30149775G6,CLORAMBUCILO 2 MG  TABLETA   LEUKERAN,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ONCOLOGIA,L01AA02,PBS 2021,199
30250650G5,CLORFENIRAMINA 2 MG/5ML  JARABE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R06AB04,PBS 2021,199
30266575G5,CLORFENIRAMINA 4 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R06AB04,PBS 2021,199
30358375G5,CLOROQUINA 250 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,P01BA01,PBS 2021,199
30447484G5,CLORURO CALCIO 16.2 MG + MAGENSIO 15.26 MG + POTASIO 122.66 MG (/100ML) SOLUCION BUCAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MATERIALES,B05XA30,INCLUSION 2022,199
30693666G5,CLORURO DE SODIO 20 MEQ/ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA INYECTABLE,P B S,MATERIALES,B05CB01,PBS 2021,199
30760468G5,CLORURO DE SODIO 3.75 MG + CLORURO DE POTASIO 12.5 MG (/ML) SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA03,PBS 2021,199
30824937G5,CLOTRIMAZOL (1%) 1 GR/100 GR  CREMA TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIMICOTICOS,D01AC01,PBS 2021,199
30824938G5,CLOTRIMAZOL (1%) 1 GR/100 GR  CREMA VAGINAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIMICOTICOS,D01AC01,PBS 2021,199
30825072G5,CLOTRIMAZOL (1%) 1 GR/100ML  SOLUCION TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIMICOTICOS,D01AC01,PBS 2021,199
30838878G5,CLOTRIMAZOL 100 MG  TABLETA VAGINAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIMICOTICOS,A01AB18,PBS 2021,199
30938875G5,CLOZAPINA 100 MG  TABLETA,GENERICOS,PRIMER NIVEL,MXCE,MCE_FV,P B S,PSIQUIATRIA,N05AH02,PBS 2021,103
30938875G6,CLOZAPINA 100 MG  TABLETA   LEPONEX,COMERCIALES 1,PRIMER NIVEL,MXCE,MCE_FV,P B S,PSIQUIATRIA,N05AH02,PBS 2021,103
30956875G5,CLOZAPINA 25 MG  TABLETA,GENERICOS,PRIMER NIVEL,MXCE,MCE_FV,P B S,PSIQUIATRIA,N05AH02,PBS 2021,103
31043380G5,COLAGENESA 120 UI/100 GR  UNGUENTO TOPICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D03BA02,INCLUSION 2022,199
31136444G5,COLAGENO HIDROLIZADO 10 GR  GEL ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,Z-NOAGRUPADO,COSM,NO PBS,199
